'from' | In regular: 172 | In spam: 192
'introns' | In regular: 1 | In spam: 0
'others' | In regular: 2 | In spam: 3
'hautoclass' | In regular: 1 | In spam: 0
'star' | In regular: 1 | In spam: 5
'srcimagesirastopgif' | In regular: 1 | In spam: 0
'altspectral' | In regular: 1 | In spam: 0
'values' | In regular: 1 | In spam: 0
'groups' | In regular: 2 | In spam: 1
'dlfrom' | In regular: 1 | In spam: 0
'subtle' | In regular: 1 | In spam: 0
'differences' | In regular: 3 | In spam: 3
'their' | In regular: 10 | In spam: 28
'infrared' | In regular: 1 | In spam: 0
'spectra' | In regular: 1 | In spam: 0
'subgroups' | In regular: 1 | In spam: 0
'previously' | In regular: 1 | In spam: 2
'difference' | In regular: 3 | In spam: 0
'srcimagesirasbottomsmallgif' | In regular: 1 | In spam: 0
'altcolorcoded' | In regular: 1 | In spam: 0
'dlthe' | In regular: 1 | In spam: 0
'confirmed' | In regular: 1 | In spam: 0
'hrefcontentsb' | In regular: 1 | In spam: 0
'project' | In regular: 7 | In spam: 1
'last' | In regular: 3 | In spam: 13
'updated' | In regular: 1 | In spam: 4
'august' | In regular: 1 | In spam: 1
'theinstituteieeeorg' | In regular: 3 | In spam: 0
'alert' | In regular: 12 | In spam: 13
'freeaccess' | In regular: 1 | In spam: 0
'heres' | In regular: 1 | In spam: 0
'report' | In regular: 1 | In spam: 11
'editors' | In regular: 2 | In spam: 0
'current' | In regular: 1 | In spam: 10
'always' | In regular: 1 | In spam: 3
'tops' | In regular: 2 | In spam: 0
'annual' | In regular: 8 | In spam: 4
'citation' | In regular: 3 | In spam: 0
'ieeeusa' | In regular: 4 | In spam: 0
'salary' | In regular: 6 | In spam: 0
'election' | In regular: 5 | In spam: 5
'ballots' | In regular: 4 | In spam: 0
'renew' | In regular: 2 | In spam: 0
'needed' | In regular: 2 | In spam: 0
'teams' | In regular: 4 | In spam: 0
'solve' | In regular: 2 | In spam: 1
'realworld' | In regular: 3 | In spam: 0
'electronics' | In regular: 6 | In spam: 0
'trade' | In regular: 3 | In spam: 1
'virtual' | In regular: 2 | In spam: 0
'community' | In regular: 2 | In spam: 7
'volunteers' | In regular: 2 | In spam: 0
'proves' | In regular: 2 | In spam: 0
'valuable' | In regular: 2 | In spam: 3
'evaluators' | In regular: 3 | In spam: 0
'wanted' | In regular: 2 | In spam: 3
'review' | In regular: 3 | In spam: 6
'engineering' | In regular: 5 | In spam: 0
'subscription' | In regular: 3 | In spam: 0
'sponsors' | In regular: 2 | In spam: 0
'realtime' | In regular: 2 | In spam: 0
'accurate' | In regular: 1 | In spam: 0
'word' | In regular: 1 | In spam: 1
'links' | In regular: 4 | In spam: 6
'urls' | In regular: 2 | In spam: 0
'might' | In regular: 1 | In spam: 4
'capture' | In regular: 2 | In spam: 1
'entire' | In regular: 1 | In spam: 4
'direct' | In regular: 2 | In spam: 1
'clicking' | In regular: 2 | In spam: 0
'note' | In regular: 1 | In spam: 5
'complete' | In regular: 3 | In spam: 2
'contained' | In regular: 1 | In spam: 1
'symbols' | In regular: 1 | In spam: 0
'copying' | In regular: 1 | In spam: 0
'pasting' | In regular: 1 | In spam: 0
'browser' | In regular: 1 | In spam: 7
'window' | In regular: 1 | In spam: 42
'starting' | In regular: 1 | In spam: 7
'fall' | In regular: 1 | In spam: 2
'shorter' | In regular: 1 | In spam: 0
'prevail' | In regular: 1 | In spam: 0
'second' | In regular: 2 | In spam: 8
'topped' | In regular: 1 | In spam: 0
'telecommunications' | In regular: 1 | In spam: 0
'journals' | In regular: 1 | In spam: 0
'publications' | In regular: 2 | In spam: 0
'cite' | In regular: 1 | In spam: 0
'often' | In regular: 1 | In spam: 21
'according' | In regular: 1 | In spam: 1
'isis' | In regular: 1 | In spam: 0
'journal' | In regular: 74 | In spam: 1
'edition' | In regular: 1 | In spam: 2
'bimonthly' | In regular: 1 | In spam: 0
'time' | In regular: 5 | In spam: 23
'captured' | In regular: 1 | In spam: 0
'spot' | In regular: 2 | In spam: 0
'citations' | In regular: 1 | In spam: 0
'categories' | In regular: 1 | In spam: 7
'electrical' | In regular: 3 | In spam: 0
'read' | In regular: 5 | In spam: 8
'ranked' | In regular: 1 | In spam: 0
'ever' | In regular: 1 | In spam: 4
'wonder' | In regular: 1 | In spam: 1
'compares' | In regular: 1 | In spam: 0
'similar' | In regular: 1 | In spam: 5
'background' | In regular: 1 | In spam: 34
'offering' | In regular: 1 | In spam: 3
'fringe' | In regular: 1 | In spam: 1
'responses' | In regular: 4 | In spam: 0
'build' | In regular: 1 | In spam: 1
'comparison' | In regular: 1 | In spam: 2
'electrotechnology' | In regular: 1 | In spam: 0
'professionals' | In regular: 2 | In spam: 0
'mailed' | In regular: 1 | In spam: 0
'voting' | In regular: 1 | In spam: 0
'sure' | In regular: 1 | In spam: 5
'votes' | In regular: 1 | In spam: 4
'signed' | In regular: 2 | In spam: 1
'ballot' | In regular: 3 | In spam: 1
'deadline' | In regular: 2 | In spam: 0
'receipt' | In regular: 2 | In spam: 1
'noon' | In regular: 1 | In spam: 1
'longer' | In regular: 1 | In spam: 2
'postagepaid' | In regular: 1 | In spam: 0
'envelope' | In regular: 1 | In spam: 0
'provided' | In regular: 4 | In spam: 1
'packet' | In regular: 1 | In spam: 0
'eden' | In regular: 1 | In spam: 0
'prairie' | In regular: 1 | In spam: 0
'angela' | In regular: 1 | In spam: 0
'wyckoff' | In regular: 1 | In spam: 0
'awyckoffieeeorg' | In regular: 1 | In spam: 0
'questions' | In regular: 2 | In spam: 0
'renewal' | In regular: 3 | In spam: 0
'notices' | In regular: 1 | In spam: 0
'open' | In regular: 1 | In spam: 14
'httpwwwieeeorgrenewal' | In regular: 1 | In spam: 0
'process' | In regular: 3 | In spam: 4
'faster' | In regular: 1 | In spam: 0
'could' | In regular: 4 | In spam: 19
'convenient' | In regular: 1 | In spam: 0
'helps' | In regular: 1 | In spam: 0
'reduce' | In regular: 1 | In spam: 3
'ieees' | In regular: 1 | In spam: 0
'costs' | In regular: 1 | In spam: 9
'notice' | In regular: 1 | In spam: 0
'learn' | In regular: 5 | In spam: 4
'work' | In regular: 2 | In spam: 16
'involves' | In regular: 1 | In spam: 0
'computing' | In regular: 2 | In spam: 0
'design' | In regular: 3 | In spam: 3
'embedded' | In regular: 1 | In spam: 1
'programming' | In regular: 1 | In spam: 4
'short' | In regular: 4 | In spam: 1
'tools' | In regular: 1 | In spam: 2
'uses' | In regular: 1 | In spam: 2
'click' | In regular: 10 | In spam: 1
'device' | In regular: 2 | In spam: 3
'safer' | In regular: 1 | In spam: 0
'team' | In regular: 1 | In spam: 5
'students' | In regular: 5 | In spam: 2
'throughout' | In regular: 1 | In spam: 1
'competition' | In regular: 1 | In spam: 0
'challenge' | In regular: 2 | In spam: 1
'undergraduate' | In regular: 2 | In spam: 0
'inception' | In regular: 1 | In spam: 0
'prototype' | In regular: 1 | In spam: 32
'specialpurpose' | In regular: 1 | In spam: 0
'computerbased' | In regular: 1 | In spam: 0
'solves' | In regular: 1 | In spam: 0
'admission' | In regular: 1 | In spam: 2
'comdex' | In regular: 1 | In spam: 0
'vegas' | In regular: 1 | In spam: 0
'keeping' | In regular: 1 | In spam: 3
'sections' | In regular: 1 | In spam: 6
'chapters' | In regular: 1 | In spam: 1
'affinity' | In regular: 1 | In spam: 0
'connected' | In regular: 2 | In spam: 1
'understatement' | In regular: 1 | In spam: 0
'tool' | In regular: 1 | In spam: 1
'regional' | In regular: 1 | In spam: 2
'keeps' | In regular: 1 | In spam: 0
'conversations' | In regular: 1 | In spam: 0
'flowing' | In regular: 1 | In spam: 0
'board' | In regular: 1 | In spam: 13
'seeking' | In regular: 1 | In spam: 0
'especially' | In regular: 2 | In spam: 1
'government' | In regular: 1 | In spam: 6
'evaluations' | In regular: 1 | In spam: 0
'ensure' | In regular: 1 | In spam: 0
'generations' | In regular: 1 | In spam: 0
'manage' | In regular: 2 | In spam: 0
'prepared' | In regular: 1 | In spam: 0
'twice' | In regular: 1 | In spam: 1
'month' | In regular: 1 | In spam: 1
'source' | In regular: 1 | In spam: 0
'youll' | In regular: 2 | In spam: 1
'subscribed' | In regular: 1 | In spam: 0
'those' | In regular: 3 | In spam: 7
'wish' | In regular: 2 | In spam: 0
'optout' | In regular: 1 | In spam: 0
'fill' | In regular: 1 | In spam: 6
'form' | In regular: 2 | In spam: 16
'convenience' | In regular: 1 | In spam: 1
'here' | In regular: 3 | In spam: 15
'info' | In regular: 1 | In spam: 4
'file' | In regular: 3 | In spam: 1
'addresses' | In regular: 2 | In spam: 1
'going' | In regular: 1 | In spam: 9
'assistance' | In regular: 1 | In spam: 1
'mailtomemberservicesieeeorg' | In regular: 1 | In spam: 0
'telephone' | In regular: 3 | In spam: 0
'outside' | In regular: 1 | In spam: 1
'forwarded' | In regular: 1 | In spam: 1
'subscribe' | In regular: 4 | In spam: 5
'changing' | In regular: 1 | In spam: 0
'unsubscribing' | In regular: 1 | In spam: 0
'copyright' | In regular: 1 | In spam: 8
'volume' | In regular: 67 | In spam: 0
'issue' | In regular: 71 | In spam: 4
'forgottenpassword' | In regular: 2 | In spam: 0
'enclosed' | In regular: 2 | In spam: 0
'table' | In regular: 6 | In spam: 18
'blackwell' | In regular: 2 | In spam: 0
'synergy' | In regular: 2 | In spam: 0
'httpwwwblackwellsynergycomlinkstocejn' | In regular: 2 | In spam: 0
'listed' | In regular: 3 | In spam: 0
'abstract' | In regular: 2 | In spam: 1
'article' | In regular: 12 | In spam: 3
'forgotten' | In regular: 2 | In spam: 0
'password' | In regular: 2 | In spam: 5
'wwwblackwellsynergycom' | In regular: 2 | In spam: 0
'ascending' | In regular: 1 | In spam: 0
'visceral' | In regular: 2 | In spam: 1
'regulation' | In regular: 2 | In spam: 0
'cortical' | In regular: 1 | In spam: 0
'affective' | In regular: 2 | In spam: 0
'gary' | In regular: 2 | In spam: 1
'berntson' | In regular: 1 | In spam: 0
'martin' | In regular: 3 | In spam: 0
'sarter' | In regular: 1 | In spam: 0
'john' | In regular: 3 | In spam: 2
'cacioppo' | In regular: 1 | In spam: 0
'httpwwwblackwellsynergycomlinksdoijx' | In regular: 63 | In spam: 0
'contribution' | In regular: 2 | In spam: 0
'kira' | In regular: 1 | In spam: 0
'kirc' | In regular: 1 | In spam: 0
'subunits' | In regular: 1 | In spam: 0
'native' | In regular: 1 | In spam: 0
'proteingated' | In regular: 1 | In spam: 0
'inwardly' | In regular: 1 | In spam: 0
'rectifying' | In regular: 1 | In spam: 0
'potassium' | In regular: 1 | In spam: 0
'currents' | In regular: 2 | In spam: 0
'cultured' | In regular: 1 | In spam: 0
'hippocampal' | In regular: 8 | In spam: 0
'neurons' | In regular: 7 | In spam: 0
'joanne' | In regular: 1 | In spam: 0
'leaney' | In regular: 1 | In spam: 0
'odourintensity' | In regular: 1 | In spam: 0
'honeybee' | In regular: 1 | In spam: 0
'antennal' | In regular: 1 | In spam: 0
'lobe' | In regular: 3 | In spam: 0
'computation' | In regular: 1 | In spam: 0
'optimizes' | In regular: 1 | In spam: 0
'odour' | In regular: 2 | In spam: 0
'silke' | In regular: 1 | In spam: 0
'sachse' | In regular: 1 | In spam: 0
'giovanni' | In regular: 1 | In spam: 0
'galizia' | In regular: 1 | In spam: 0
'involvement' | In regular: 1 | In spam: 0
'transient' | In regular: 1 | In spam: 0
'receptor' | In regular: 5 | In spam: 0
'potentiallike' | In regular: 1 | In spam: 0
'channels' | In regular: 1 | In spam: 0
'mgluri' | In regular: 1 | In spam: 0
'activation' | In regular: 4 | In spam: 0
'midbrain' | In regular: 1 | In spam: 0
'dopamine' | In regular: 3 | In spam: 0
'alessandro' | In regular: 1 | In spam: 0
'tozzi' | In regular: 2 | In spam: 0
'peter' | In regular: 4 | In spam: 0
'bengtson' | In regular: 1 | In spam: 0
'patrizia' | In regular: 1 | In spam: 0
'longone' | In regular: 1 | In spam: 0
'corrado' | In regular: 1 | In spam: 0
'carignani' | In regular: 1 | In spam: 0
'francesca' | In regular: 1 | In spam: 0
'fusco' | In regular: 1 | In spam: 0
'giorgio' | In regular: 1 | In spam: 0
'bernardi' | In regular: 2 | In spam: 0
'nicola' | In regular: 1 | In spam: 0
'mercuri' | In regular: 2 | In spam: 0
'extrinsic' | In regular: 1 | In spam: 0
'injurygrowthrelated' | In regular: 1 | In spam: 0
'gene' | In regular: 4 | In spam: 0
'expression' | In regular: 7 | In spam: 1
'inferior' | In regular: 2 | In spam: 1
'olive' | In regular: 1 | In spam: 0
'adult' | In regular: 3 | In spam: 1
'annalisa' | In regular: 1 | In spam: 0
'buffo' | In regular: 1 | In spam: 0
'daniela' | In regular: 2 | In spam: 0
'carulli' | In regular: 1 | In spam: 0
'ferdinando' | In regular: 1 | In spam: 0
'rossi' | In regular: 1 | In spam: 0
'piergiorgio' | In regular: 1 | In spam: 0
'strata' | In regular: 1 | In spam: 0
'differential' | In regular: 3 | In spam: 0
'arithmetic' | In regular: 1 | In spam: 0
'shunting' | In regular: 1 | In spam: 0
'inhibition' | In regular: 1 | In spam: 0
'voltage' | In regular: 1 | In spam: 0
'spike' | In regular: 1 | In spam: 0
'rate' | In regular: 1 | In spam: 0
'neocortical' | In regular: 1 | In spam: 0
'pyramidal' | In regular: 1 | In spam: 0
'cells' | In regular: 7 | In spam: 0
'ulrich' | In regular: 1 | In spam: 0
'elimination' | In regular: 1 | In spam: 0
'serotonergic' | In regular: 1 | In spam: 0
'induces' | In regular: 1 | In spam: 0
'increase' | In regular: 1 | In spam: 2
'generation' | In regular: 2 | In spam: 0
'dopaminergic' | In regular: 1 | In spam: 0
'mesencephalic' | In regular: 1 | In spam: 0
'precursors' | In regular: 1 | In spam: 0
'jannette' | In regular: 1 | In spam: 0
'rodriguezpallares' | In regular: 1 | In spam: 0
'maria' | In regular: 2 | In spam: 0
'guerra' | In regular: 1 | In spam: 0
'jose' | In regular: 2 | In spam: 0
'labandeiragarcia' | In regular: 1 | In spam: 0
'cachannel' | In regular: 1 | In spam: 0
'bkchannel' | In regular: 1 | In spam: 0
'embryos' | In regular: 1 | In spam: 0
'larvae' | In regular: 1 | In spam: 0
'xenopus' | In regular: 1 | In spam: 0
'laevis' | In regular: 1 | In spam: 0
'cristina' | In regular: 2 | In spam: 0
'jimenezgonzalez' | In regular: 1 | In spam: 0
'gerald' | In regular: 1 | In spam: 0
'mclaren' | In regular: 1 | In spam: 0
'nicholas' | In regular: 1 | In spam: 0
'dale' | In regular: 1 | In spam: 0
'phenotypic' | In regular: 1 | In spam: 0
'sigma' | In regular: 2 | In spam: 0
'type' | In regular: 2 | In spam: 2
'knockout' | In regular: 3 | In spam: 0
'mice' | In regular: 7 | In spam: 2
'francina' | In regular: 1 | In spam: 0
'langa' | In regular: 1 | In spam: 0
'xavier' | In regular: 3 | In spam: 0
'codony' | In regular: 1 | In spam: 0
'victoria' | In regular: 3 | In spam: 0
'tovar' | In regular: 1 | In spam: 0
'alfonso' | In regular: 1 | In spam: 2
'lavado' | In regular: 1 | In spam: 0
'estela' | In regular: 1 | In spam: 0
'gimenez' | In regular: 1 | In spam: 0
'patricia' | In regular: 3 | In spam: 0
'cozar' | In regular: 1 | In spam: 0
'marta' | In regular: 1 | In spam: 0
'cantero' | In regular: 1 | In spam: 0
'albert' | In regular: 2 | In spam: 0
'dordal' | In regular: 1 | In spam: 0
'enric' | In regular: 1 | In spam: 0
'hernandez' | In regular: 1 | In spam: 0
'raquel' | In regular: 1 | In spam: 0
'perez' | In regular: 1 | In spam: 0
'monroy' | In regular: 1 | In spam: 0
'zamanillo' | In regular: 1 | In spam: 0
'guitart' | In regular: 1 | In spam: 0
'lluis' | In regular: 1 | In spam: 0
'montoliu' | In regular: 1 | In spam: 0
'cannabinoid' | In regular: 2 | In spam: 0
'stimulated' | In regular: 1 | In spam: 0
'sgtpgammas' | In regular: 1 | In spam: 0
'binding' | In regular: 1 | In spam: 0
'delta' | In regular: 1 | In spam: 0
'kappaopioid' | In regular: 1 | In spam: 0
'fernando' | In regular: 2 | In spam: 0
'berrendero' | In regular: 1 | In spam: 0
'mendizabal' | In regular: 1 | In spam: 0
'murtra' | In regular: 1 | In spam: 0
'brigitte' | In regular: 1 | In spam: 0
'kieffer' | In regular: 1 | In spam: 0
'rafael' | In regular: 1 | In spam: 0
'maldonado' | In regular: 1 | In spam: 0
'hormonedependent' | In regular: 1 | In spam: 0
'desensitization' | In regular: 1 | In spam: 0
'autoreceptors' | In regular: 1 | In spam: 0
'deficient' | In regular: 1 | In spam: 0
'transporter' | In regular: 2 | In spam: 0
'saoussen' | In regular: 1 | In spam: 0
'bouali' | In regular: 1 | In spam: 0
'alexis' | In regular: 1 | In spam: 0
'evrard' | In regular: 1 | In spam: 0
'michel' | In regular: 3 | In spam: 0
'chastanet' | In regular: 1 | In spam: 0
'klauspeter' | In regular: 1 | In spam: 0
'lesch' | In regular: 1 | In spam: 0
'hamon' | In regular: 1 | In spam: 0
'joelle' | In regular: 1 | In spam: 0
'adrien' | In regular: 1 | In spam: 0
'rapid' | In regular: 1 | In spam: 0
'longterm' | In regular: 1 | In spam: 0
'alterations' | In regular: 2 | In spam: 0
'gabab' | In regular: 1 | In spam: 0
'receptors' | In regular: 4 | In spam: 0
'mouse' | In regular: 6 | In spam: 1
'model' | In regular: 4 | In spam: 1
'temporal' | In regular: 3 | In spam: 0
'andrea' | In regular: 2 | In spam: 1
'straessle' | In regular: 1 | In spam: 0
'fabienne' | In regular: 1 | In spam: 0
'loup' | In regular: 1 | In spam: 0
'dimitrula' | In regular: 1 | In spam: 0
'arabadzisz' | In regular: 1 | In spam: 0
'gordon' | In regular: 1 | In spam: 0
'ohning' | In regular: 1 | In spam: 0
'jeanmarc' | In regular: 1 | In spam: 0
'fritschy' | In regular: 1 | In spam: 0
'distribution' | In regular: 1 | In spam: 1
'alanineserinecysteine' | In regular: 1 | In spam: 0
'rodent' | In regular: 2 | In spam: 0
'lone' | In regular: 1 | In spam: 0
'helboe' | In regular: 1 | In spam: 0
'egebjerg' | In regular: 1 | In spam: 0
'morten' | In regular: 1 | In spam: 0
'moller' | In regular: 1 | In spam: 0
'christian' | In regular: 5 | In spam: 1
'thomsen' | In regular: 1 | In spam: 0
'peripheral' | In regular: 1 | In spam: 0
'inhibits' | In regular: 1 | In spam: 0
'mechanically' | In regular: 1 | In spam: 0
'evoked' | In regular: 2 | In spam: 0
'spinal' | In regular: 1 | In spam: 0
'noninflamed' | In regular: 1 | In spam: 0
'rats' | In regular: 4 | In spam: 0
'hindpaw' | In regular: 1 | In spam: 0
'inflammation' | In regular: 1 | In spam: 0
'sara' | In regular: 1 | In spam: 0
'kelly' | In regular: 1 | In spam: 1
'maulik' | In regular: 1 | In spam: 0
'jhaveri' | In regular: 1 | In spam: 0
'devi' | In regular: 1 | In spam: 0
'sagar' | In regular: 1 | In spam: 0
'david' | In regular: 3 | In spam: 0
'kendall' | In regular: 1 | In spam: 0
'chapman' | In regular: 1 | In spam: 0
'musc' | In regular: 1 | In spam: 0
'involved' | In regular: 1 | In spam: 0
'regulating' | In regular: 1 | In spam: 0
'axonal' | In regular: 1 | In spam: 0
'fasciculation' | In regular: 1 | In spam: 0
'primary' | In regular: 2 | In spam: 1
'vestibular' | In regular: 1 | In spam: 0
'afferents' | In regular: 1 | In spam: 0
'daisuke' | In regular: 1 | In spam: 0
'kawauchi' | In regular: 1 | In spam: 0
'hiroaki' | In regular: 1 | In spam: 0
'kobayashi' | In regular: 1 | In spam: 0
'yoko' | In regular: 2 | In spam: 0
'sekineaizawa' | In regular: 1 | In spam: 0
'shinobu' | In regular: 1 | In spam: 0
'fujita' | In regular: 1 | In spam: 0
'fujio' | In regular: 1 | In spam: 0
'murakami' | In regular: 1 | In spam: 0
'increasing' | In regular: 1 | In spam: 0
'levels' | In regular: 3 | In spam: 1
'neuregulin' | In regular: 1 | In spam: 0
'glial' | In regular: 2 | In spam: 0
'growth' | In regular: 1 | In spam: 4
'factor' | In regular: 3 | In spam: 0
'infusion' | In regular: 1 | In spam: 0
'areas' | In regular: 1 | In spam: 4
'demyelination' | In regular: 1 | In spam: 0
'alter' | In regular: 1 | In spam: 0
'remyelination' | In regular: 1 | In spam: 0
'jacques' | In regular: 1 | In spam: 0
'penderis' | In regular: 1 | In spam: 0
'rachel' | In regular: 1 | In spam: 0
'woodruff' | In regular: 1 | In spam: 0
'andras' | In regular: 1 | In spam: 0
'lakatos' | In regular: 1 | In spam: 0
'wenwu' | In regular: 1 | In spam: 0
'dunning' | In regular: 1 | In spam: 0
'chao' | In regular: 2 | In spam: 0
'zhao' | In regular: 1 | In spam: 0
'marchionni' | In regular: 1 | In spam: 0
'robin' | In regular: 2 | In spam: 1
'franklin' | In regular: 1 | In spam: 1
'downregulation' | In regular: 1 | In spam: 0
'cypa' | In regular: 1 | In spam: 0
'induction' | In regular: 1 | In spam: 0
'during' | In regular: 3 | In spam: 9
'maturation' | In regular: 1 | In spam: 0
'cerebellar' | In regular: 2 | In spam: 0
'granule' | In regular: 1 | In spam: 0
'culture' | In regular: 2 | In spam: 0
'role' | In regular: 4 | In spam: 1
'nitric' | In regular: 1 | In spam: 0
'oxide' | In regular: 1 | In spam: 0
'accumulation' | In regular: 1 | In spam: 0
'sonia' | In regular: 1 | In spam: 0
'muleronavarro' | In regular: 1 | In spam: 0
'belen' | In regular: 1 | In spam: 0
'santiagojosefat' | In regular: 1 | In spam: 0
'eulalia' | In regular: 1 | In spam: 0
'pozoguisado' | In regular: 1 | In spam: 0
'jaime' | In regular: 1 | In spam: 0
'merino' | In regular: 1 | In spam: 0
'pedro' | In regular: 1 | In spam: 0
'fernandezsalguero' | In regular: 1 | In spam: 0
'inhibitory' | In regular: 2 | In spam: 0
'excitatory' | In regular: 2 | In spam: 0
'commissural' | In regular: 1 | In spam: 0
'interneurons' | In regular: 1 | In spam: 0
'mediating' | In regular: 1 | In spam: 0
'crossed' | In regular: 1 | In spam: 0
'reticulospinal' | In regular: 1 | In spam: 0
'actions' | In regular: 2 | In spam: 0
'anne' | In regular: 1 | In spam: 0
'bannatyne' | In regular: 1 | In spam: 0
'stephen' | In regular: 2 | In spam: 0
'edgley' | In regular: 1 | In spam: 0
'ingela' | In regular: 1 | In spam: 0
'hammar' | In regular: 1 | In spam: 0
'elzbieta' | In regular: 1 | In spam: 0
'jankowska' | In regular: 1 | In spam: 0
'maxwell' | In regular: 1 | In spam: 0
'histaminergic' | In regular: 1 | In spam: 0
'facilitation' | In regular: 1 | In spam: 0
'electrocorticographic' | In regular: 1 | In spam: 0
'basal' | In regular: 1 | In spam: 0
'forebrain' | In regular: 2 | In spam: 0
'thalamus' | In regular: 1 | In spam: 0
'neocortex' | In regular: 2 | In spam: 0
'hans' | In regular: 2 | In spam: 0
'dringenberg' | In regular: 1 | In spam: 0
'minching' | In regular: 1 | In spam: 0
'nacetyl' | In regular: 1 | In spam: 0
'aspartate' | In regular: 1 | In spam: 0
'mirror' | In regular: 1 | In spam: 0
'neuronal' | In regular: 5 | In spam: 0
'densities' | In regular: 1 | In spam: 0
'creatinesupplemented' | In regular: 1 | In spam: 0
'epileptic' | In regular: 1 | In spam: 0
'stefan' | In regular: 2 | In spam: 0
'vielhaber' | In regular: 1 | In spam: 0
'alexei' | In regular: 1 | In spam: 0
'kudin' | In regular: 1 | In spam: 0
'tatiana' | In regular: 1 | In spam: 0
'kudina' | In regular: 1 | In spam: 0
'detlef' | In regular: 1 | In spam: 0
'stiller' | In regular: 1 | In spam: 0
'henning' | In regular: 1 | In spam: 0
'scheich' | In regular: 1 | In spam: 0
'ariel' | In regular: 1 | In spam: 0
'schoenfeld' | In regular: 1 | In spam: 0
'helmut' | In regular: 1 | In spam: 0
'feistner' | In regular: 1 | In spam: 0
'hansjochen' | In regular: 1 | In spam: 0
'heinze' | In regular: 1 | In spam: 0
'elger' | In regular: 2 | In spam: 0
'wolfram' | In regular: 2 | In spam: 0
'kunz' | In regular: 1 | In spam: 0
'mapping' | In regular: 1 | In spam: 0
'frequency' | In regular: 1 | In spam: 0
'sweeps' | In regular: 1 | In spam: 0
'tones' | In regular: 1 | In spam: 0
'colliculus' | In regular: 2 | In spam: 0
'house' | In regular: 2 | In spam: 6
'steffen' | In regular: 1 | In spam: 0
'hage' | In regular: 1 | In spam: 0
'gunter' | In regular: 1 | In spam: 0
'ehret' | In regular: 1 | In spam: 0
'astrocytedirected' | In regular: 1 | In spam: 0
'inactivation' | In regular: 1 | In spam: 0
'connexin' | In regular: 1 | In spam: 0
'exhibit' | In regular: 1 | In spam: 0
'increased' | In regular: 3 | In spam: 0
'exploratory' | In regular: 1 | In spam: 0
'behaviour' | In regular: 2 | In spam: 0
'impaired' | In regular: 1 | In spam: 0
'motor' | In regular: 4 | In spam: 2
'capacities' | In regular: 1 | In spam: 0
'changes' | In regular: 2 | In spam: 0
'acetylcholine' | In regular: 1 | In spam: 0
'frisch' | In regular: 1 | In spam: 0
'theis' | In regular: 1 | In spam: 0
'souza' | In regular: 1 | In spam: 0
'silva' | In regular: 1 | In spam: 0
'ekrem' | In regular: 1 | In spam: 0
'dere' | In regular: 1 | In spam: 0
'goran' | In regular: 1 | In spam: 0
'sohl' | In regular: 1 | In spam: 0
'barbara' | In regular: 1 | In spam: 0
'teubner' | In regular: 1 | In spam: 0
'katerina' | In regular: 1 | In spam: 0
'namestkova' | In regular: 1 | In spam: 0
'kiaus' | In regular: 1 | In spam: 0
'willecke' | In regular: 1 | In spam: 0
'joseph' | In regular: 1 | In spam: 0
'huston' | In regular: 1 | In spam: 0
'haploinsufficiency' | In regular: 1 | In spam: 0
'trkb' | In regular: 1 | In spam: 0
'trkc' | In regular: 1 | In spam: 0
'neurotrophin' | In regular: 1 | In spam: 0
'causes' | In regular: 1 | In spam: 0
'structural' | In regular: 1 | In spam: 0
'aged' | In regular: 1 | In spam: 0
'hippocampus' | In regular: 5 | In spam: 0
'amygdala' | In regular: 3 | In spam: 0
'oliver' | In regular: 1 | In spam: 1
'bohlen' | In regular: 1 | In spam: 0
'halbach' | In regular: 1 | In spam: 0
'liliana' | In regular: 1 | In spam: 0
'minichiello' | In regular: 1 | In spam: 0
'klaus' | In regular: 3 | In spam: 0
'unsicker' | In regular: 1 | In spam: 0
'selective' | In regular: 3 | In spam: 0
'psychostimulant' | In regular: 1 | In spam: 0
'sensitization' | In regular: 1 | In spam: 0
'food' | In regular: 1 | In spam: 3
'restriction' | In regular: 1 | In spam: 0
'accumbens' | In regular: 2 | In spam: 0
'shell' | In regular: 1 | In spam: 0
'core' | In regular: 1 | In spam: 1
'cadoni' | In regular: 1 | In spam: 0
'marcello' | In regular: 1 | In spam: 0
'solinas' | In regular: 1 | In spam: 0
'valentina' | In regular: 2 | In spam: 0
'valentini' | In regular: 1 | In spam: 0
'gaetano' | In regular: 1 | In spam: 0
'chiara' | In regular: 1 | In spam: 0
'aspects' | In regular: 1 | In spam: 0
'task' | In regular: 4 | In spam: 0
'performance' | In regular: 1 | In spam: 1
'intermittent' | In regular: 1 | In spam: 0
'hypoxia' | In regular: 1 | In spam: 0
'evidence' | In regular: 1 | In spam: 2
'neurogenesis' | In regular: 2 | In spam: 0
'gozal' | In regular: 2 | In spam: 0
'barry' | In regular: 1 | In spam: 4
'evelyne' | In regular: 1 | In spam: 0
'leila' | In regular: 1 | In spam: 0
'kheirandish' | In regular: 1 | In spam: 0
'jennifer' | In regular: 1 | In spam: 0
'neville' | In regular: 1 | In spam: 0
'kenneth' | In regular: 1 | In spam: 0
'brittian' | In regular: 1 | In spam: 0
'leroy' | In regular: 1 | In spam: 0
'sachleben' | In regular: 1 | In spam: 0
'shang' | In regular: 1 | In spam: 0
'basolateral' | In regular: 1 | In spam: 0
'central' | In regular: 2 | In spam: 0
'nuclei' | In regular: 1 | In spam: 0
